No,入院経験,注射
1,0,1
2,0,2
3,1,2
4,1,1
5,1,2
6,0,1
7,0,2
8,1,2
9,0,1
10,0,1
11,0,2
12,1,2
13,0,2
14,1,1
15,1,2
16,0,2
17,1,1
18,1,1
19,1,2
20,0,2
21,0,1
22,0,1
23,0,1
24,0,2
25,1,1
26,0,2
27,0,1
28,1,1
29,0,1
30,1,2
31,1,2
32,0,1
33,0,2
34,0,2
35,0,1
36,1,2
37,0,1
38,0,2
39,1,2
40,1,1
41,1,2
42,0,1
43,1,2
44,1,1
45,0,2
46,0,1
47,1,2
48,1,2
49,0,2
50,1,2
51,0,2
52,0,1
53,0,1
54,1,2
55,0,1
56,1,2
57,1,1
58,0,1
59,1,1
60,1,1
61,1,2
62,1,1
63,1,1
64,0,2
65,1,1
66,0,1
67,0,2
68,0,2
69,1,2
70,1,2
71,1,2
72,1,2
73,1,2
74,0,1
75,1,2
76,0,1
77,1,1
78,1,2
79,0,2
80,0,1
81,0,2
82,1,2
83,0,1
84,1,2
85,0,2
86,0,1
87,1,2
88,1,2
89,0,1
90,0,1
91,0,2
92,0,1
93,0,2
94,0,1
95,1,2
96,0,2
97,1,2
98,1,2
99,0,2
100,0,1
101,1,2
102,0,1
103,0,1
104,0,2
105,1,2
106,0,2
107,1,2
108,1,2
109,0,1
110,1,2
111,0,2
112,1,2
113,1,2
114,0,2
115,0,1
116,0,2
117,0,1
118,1,2
119,1,2
120,0,1
121,1,2
122,0,2
123,1,2
124,1,2
125,0,2
126,0,2
127,1,2
128,1,2
129,1,2
130,0,2
131,1,2
132,0,1
133,0,1
134,0,1
135,0,2
136,1,2
137,0,1
138,0,2
139,0,2
140,1,1
141,1,2
142,0,1
143,0,1
144,0,2
145,1,2
146,1,1
147,1,1
148,1,2
149,0,1
150,1,2
151,1,2
152,1,2
153,1,2
154,1,2
155,1,2
156,1,2
157,0,1
158,0,2
159,0,1
160,1,1
161,1,2
162,0,1
163,0,1
164,0,1
165,0,2
166,1,2
167,1,2
168,1,2
169,1,2
170,1,1
171,0,2
172,0,1
173,1,2
174,1,2
175,0,1
176,0,2
177,0,1
178,0,1
179,1,2
180,0,2
181,1,1
182,0,1
183,1,1
184,1,1
185,1,2
186,1,2
187,1,2
188,1,2
189,0,2
190,1,2
191,0,1
192,1,1
193,1,2
194,0,1
195,1,1
196,0,1
197,1,2
198,0,2
199,1,2
200,0,2
