Class,Score
A,151
A,155
A,157
A,143
A,156
A,132
A,174
A,172
A,150
A,172
A,138
A,143
A,133
A,163
A,151
A,161
A,156
A,168
A,145
A,152
A,133
A,148
A,158
A,158
A,165
A,151
A,141
A,142
A,152
A,153
A,160
A,161
A,159
A,161
A,152
A,140
A,151
A,171
A,154
A,150
A,163
A,156
A,156
A,150
A,153
A,166
A,148
A,138
A,159
A,151
A,167
A,158
A,156
A,146
A,157
A,151
A,162
A,157
A,144
A,148
A,157
A,141
A,159
A,147
A,154
A,155
A,149
A,170
A,167
A,162
A,161
A,166
A,149
A,150
A,138
A,143
A,151
A,153
A,149
A,147
A,144
A,147
A,163
A,157
A,145
A,137
A,153
A,142
A,155
A,158
A,154
A,155
A,156
A,153
A,137
A,150
A,163
A,149
A,149
A,145
B,151
B,159
B,159
B,147
B,165
B,158
B,178
B,166
B,148
B,151
B,135
B,162
B,150
B,157
B,162
B,175
B,140
B,162
B,170
B,138
B,170
B,170
B,171
B,172
B,171
B,164
B,157
B,178
B,154
B,148
B,160
B,169
B,150
B,155
B,148
B,154
B,163
B,163
B,156
B,181
B,156
B,164
B,169
B,162
B,168
B,159
B,136
B,157
B,166
B,160
B,151
B,140
B,158
B,162
B,154
B,163
B,144
B,167
B,145
B,162
B,145
B,169
B,169
B,166
B,155
B,160
B,154
B,156
B,161
B,174
B,177
B,174
B,152
B,148
B,169
B,144
B,158
B,152
B,164
B,159
B,169
B,166
B,135
B,170
B,160
B,150
B,166
B,159
B,164
B,164
B,166
B,154
B,158
B,166
B,169
B,144
B,174
B,141
B,153
B,175
