No,前,後
1,163,159
2,128,170
3,168,172
4,137,139
5,145,151
6,167,173
7,139,176
8,135,168
9,142,151
10,150,147
11,147,159
12,162,158
13,137,146
14,173,168
15,152,167
16,152,155
17,151,163
18,150,157
19,161,151
20,150,157
21,138,151
22,153,154
23,148,161
24,164,152
25,168,159
26,169,157
27,162,154
28,134,157
29,158,151
30,140,141
31,135,155
32,140,157
33,141,159
34,153,166
35,150,149
36,145,165
37,163,163
38,154,166
39,155,162
40,159,172
41,138,151
42,160,148
43,164,152
44,140,164
45,152,159
46,153,146
47,153,127
48,163,172
49,148,171
50,171,157
51,156,177
52,167,159
53,157,145
54,156,151
55,154,157
56,154,150
57,163,145
58,156,154
59,145,142
60,155,174
61,163,139
62,148,146
63,145,155
64,157,163
65,152,172
66,142,173
67,153,146
68,136,166
69,162,153
70,149,163
71,158,150
72,150,155
73,146,151
74,151,140
75,151,144
76,147,159
77,140,164
78,137,160
79,163,160
80,144,149
81,142,154
82,140,158
83,147,168
84,143,170
85,146,154
86,135,155
87,162,152
88,154,164
89,157,152
90,151,168
91,161,134
92,184,172
93,153,145
94,145,153
95,150,164
96,156,146
97,155,173
98,151,168
99,154,142
100,156,146
