Group,Value
A,52.5
A,49.3
A,53.2
A,57.6
A,48.8
A,48.8
A,57.9
A,53.8
A,47.7
A,52.7
A,47.7
A,47.7
A,51.2
A,40.4
A,41.4
A,47.2
A,44.9
A,51.6
A,45.5
A,42.9
A,57.3
A,48.9
A,50.3
A,42.9
A,47.3
A,50.6
A,44.2
A,51.9
A,47.0
A,48.5
A,47.0
A,59.3
A,49.9
A,44.7
A,54.1
A,43.9
A,51.0
A,40.2
A,43.4
A,51.0
A,53.7
A,50.9
A,49.4
A,48.5
A,42.6
A,46.4
A,47.7
A,55.3
A,51.7
A,41.2
A,51.6
A,48.1
A,46.6
A,53.1
A,55.2
A,54.7
A,45.8
A,48.5
A,51.7
A,54.9
A,47.6
A,49.1
A,44.5
A,44.0
A,54.1
A,56.8
A,49.6
A,55.0
A,51.8
A,46.8
A,51.8
A,57.7
A,49.8
A,57.8
A,36.9
A,54.1
A,50.4
A,48.5
A,50.5
A,40.1
B,63.9
B,66.8
B,72.4
B,62.4
B,61.0
B,62.5
B,69.6
B,66.6
B,62.4
B,67.6
B,65.5
B,69.8
B,61.5
B,63.4
B,63.0
B,57.7
B,66.5
B,66.3
B,65.0
B,63.8
B,57.9
B,62.9
B,63.3
B,61.0
B,64.2
B,67.0
B,74.4
B,65.9
B,66.3
B,64.6
B,55.4
B,64.9
B,65.3
B,77.3
B,64.0
B,66.5
B,64.8
B,59.2
B,70.7
B,68.8
B,69.0
B,60.5
B,72.0
B,58.0
B,67.9
B,76.0
B,60.0
B,62.2
B,65.5
B,62.5
B,57.2
B,65.3
B,59.7
B,67.4
B,60.4
B,72.7
B,61.1
B,63.4
B,69.1
B,58.8
B,66.1
B,71.5
B,57.0
B,65.9
B,66.3
B,68.9
B,58.8
B,58.4
B,67.6
B,66.5
B,66.3
B,66.7
B,61.6
B,66.2
B,66.5
B,61.4
B,74.3
B,67.4
B,59.0
B,68.3
C,75.1
C,83.9
C,85.8
C,75.9
C,84.8
C,82.1
C,84.1
C,89.5
C,78.8
C,76.2
C,75.6
C,75.9
C,79.6
C,81.7
C,81.4
C,84.1
C,80.1
C,87.3
C,78.7
C,93.6
C,83.1
C,75.7
C,74.6
C,82.4
C,78.9
C,83.6
C,82.4
C,79.6
C,75.8
C,72.4
C,77.8
C,84.3
C,81.1
C,73.8
C,80.9
C,81.9
C,75.6
C,80.8
C,80.3
C,74.3
C,81.8
C,82.8
C,85.4
C,85.3
C,73.1
C,75.3
C,82.6
C,82.6
C,82.6
C,99.3
C,82.9
C,85.7
C,84.8
C,83.3
C,78.4
C,83.8
C,76.1
C,78.8
C,77.6
C,80.4
C,91.6
C,70.7
C,83.4
C,71.9
C,77.6
C,85.4
C,80.3
C,74.6
C,76.4
C,83.4
C,76.3
C,81.1
C,80.2
C,76.7
C,90.7
C,83.2
C,69.9
C,80.9
C,76.7
C,84.3
