ID,Time1,Time2,Time3
1,52.5,58.9,65.1
2,49.3,61.8,73.9
3,53.2,67.4,75.8
4,57.6,57.4,65.9
5,48.8,56.0,74.8
6,48.8,57.5,72.1
7,57.9,64.6,74.1
8,53.8,61.6,79.5
9,47.7,57.4,68.8
10,52.7,62.6,66.2
11,47.7,60.5,65.6
12,47.7,64.8,65.9
13,51.2,56.5,69.6
14,40.4,58.4,71.7
15,41.4,58.0,71.4
16,47.2,52.7,74.1
17,44.9,61.5,70.1
18,51.6,61.3,77.3
19,45.5,60.0,68.7
20,42.9,58.8,83.6
21,57.3,52.9,73.1
22,48.9,57.9,65.7
23,50.3,58.3,64.6
24,42.9,56.0,72.4
25,47.3,59.2,68.9
26,50.6,62.0,73.6
27,44.2,69.4,72.4
28,51.9,60.9,69.6
29,47.0,61.3,65.8
30,48.5,59.6,62.4
31,47.0,50.4,67.8
32,59.3,59.9,74.3
33,49.9,60.3,71.1
34,44.7,72.3,63.8
35,54.1,59.0,70.9
36,43.9,61.5,71.9
37,51.0,59.8,65.6
38,40.2,54.2,70.8
39,43.4,65.7,70.3
40,51.0,63.8,64.3
41,53.7,64.0,71.8
42,50.9,55.5,72.8
43,49.4,67.0,75.4
44,48.5,53.0,75.3
45,42.6,62.9,63.1
46,46.4,71.0,65.3
47,47.7,55.0,72.6
48,55.3,57.2,72.6
49,51.7,60.5,72.6
50,41.2,57.5,89.3
51,51.6,52.2,72.9
52,48.1,60.3,75.7
53,46.6,54.7,74.8
54,53.1,62.4,73.3
55,55.2,55.4,68.4
56,54.7,67.7,73.8
57,45.8,56.1,66.1
58,48.5,58.4,68.8
59,51.7,64.1,67.6
60,54.9,53.8,70.4
61,47.6,61.1,81.6
62,49.1,66.5,60.7
63,44.5,52.0,73.4
64,44.0,60.9,61.9
65,54.1,61.3,67.6
66,56.8,63.9,75.4
67,49.6,53.8,70.3
68,55.0,53.4,64.6
69,51.8,62.6,66.4
70,46.8,61.5,73.4
71,51.8,61.3,66.3
72,57.7,61.7,71.1
73,49.8,56.6,70.2
74,57.8,61.2,66.7
75,36.9,61.5,80.7
76,54.1,56.4,73.2
77,50.4,69.3,59.9
78,48.5,62.4,70.9
79,50.5,54.0,66.7
80,40.1,63.3,74.3
