ID,Group,Score
A1,A,3
A2,A,4
A3,A,2
A4,A,5
A5,A,4
A6,A,3
A7,A,2
A8,A,5
A9,A,3
A10,A,4
A11,A,3
A12,A,2
A13,A,4
A14,A,5
A15,A,3
A16,A,4
A17,A,2
A18,A,3
A19,A,4
A20,A,5
A21,A,3
A22,A,2
A23,A,4
A24,A,3
A25,A,5
A26,A,4
A27,A,2
A28,A,3
B1,B,4
B2,B,5
B3,B,6
B4,B,5
B5,B,7
B6,B,6
B7,B,5
B8,B,6
B9,B,7
B10,B,5
B11,B,6
B12,B,7
B13,B,5
B14,B,6
B15,B,7
B16,B,5
B17,B,6
B18,B,7
B19,B,5
B20,B,6
B21,B,7
B22,B,5
B23,B,6
B24,B,7
B25,B,5
B26,B,6
B27,B,7
B28,B,6
B29,B,5
B30,B,7
B31,B,6
B32,B,5
C1,C,7
C2,C,8
C3,C,9
C4,C,8
C5,C,7
C6,C,9
C7,C,8
C8,C,9
C9,C,7
C10,C,8
C11,C,9
C12,C,8
C13,C,7
C14,C,8
C15,C,9
C16,C,8
C17,C,9
C18,C,7
C19,C,8
C20,C,9
C21,C,8
C22,C,7
C23,C,9
C24,C,8
C25,C,7
C26,C,9
C27,C,8
C28,C,7
C29,C,9
C30,C,8
