ID,X1,Y
1,40.11,108.46
2,46.32,119.65
3,62.88,173.33
4,51.94,128.99
5,59.2,156.16
6,47.28,132.17
7,63.23,167.69
8,53.49,144.4
9,46.16,121.9
10,46.78,125.48
11,50.97,141.07
12,34.74,90.54
13,61.92,171.58
14,36.29,103.44
15,51.49,141.34
16,57.61,151.53
17,46.97,129.29
18,39.11,104.86
19,52.34,141.56
20,44.62,126.53
21,55.76,157.53
22,58.5,157.41
23,47.18,129
24,42.58,112.01
25,64.41,172.23
26,45.79,130.28
27,42.37,116.32
28,38.43,113.54
29,52.21,139.15
30,48.35,134.5
