ID,X1,X2,X3,Y
1,44.57,118.52,-0.36,193.94
2,44.41,102.26,-0.26,173.4
3,46.84,107.22,0.81,174.72
4,45.39,97.77,0.25,177.62
5,35.64,119.73,-0.29,171.08
6,63.65,81.66,0.31,189.1
7,54.39,95.45,0.08,187.82
8,43.45,124.81,0.22,199.59
9,50.06,97.49,1.06,175.56
10,42.92,101.26,-0.43,180.81
11,52.97,92.29,1.34,176.3
12,42.93,121.68,-2.11,216.2
13,57.07,108.04,-1.1,221.12
14,57.86,89.49,0.52,188.26
15,54.77,83.89,1.05,176.34
16,44.84,93.93,-0.92,189.67
17,49.9,107.93,-1.61,213.71
18,46.4,128.85,-0.83,215.99
19,40.57,112.15,0.1,184.06
20,42.35,115.8,0.81,189.9
21,55.82,89.43,-0.03,190.99
22,59.69,114.81,0.29,220.41
23,53.86,74.39,1.33,167.61
24,57.32,117.36,0.22,214.02
25,44.83,82.79,0.89,166.68
26,37.5,122.17,0.02,193.53
27,58.64,92.5,-0.84,205.86
28,47.62,99.02,0.44,180.33
29,43.79,94.78,1.35,171.77
30,54.13,112.37,-0.38,210.67
