ID,Score,Hours,Age,Sex,Y
1,64,4.6,28,1,1
2,62,3.6,26,1,0
3,70,3.9,24,2,0
4,61,2.5,21,1,1
5,63,3.5,22,2,0
6,60,3,19,1,0
7,64,3.9,19,2,0
8,66,3.9,19,1,1
9,62,3.2,20,1,0
10,69,5,27,2,0
11,59,4.4,26,1,0
12,72,4.6,29,2,0
13,66,3.3,24,1,0
14,72,5.6,25,1,1
15,74,5.2,29,1,1
16,67,2.6,27,2,0
17,65,4,25,1,1
18,59,3.4,24,2,0
19,67,4.2,25,2,0
20,59,2.6,29,2,0
21,63,2.4,22,1,0
22,74,3.6,27,1,1
23,67,3.4,26,2,0
24,73,5.1,19,2,0
25,68,1.8,23,1,0
26,65,4.1,28,2,1
27,70,3.3,25,2,1
28,74,3,19,2,0
29,62,4.1,27,1,0
30,65,5.2,27,1,1
31,66,3,28,1,0
32,63,2.5,20,1,0
33,59,3.6,19,2,0
34,68,4.8,28,2,1
35,61,4.7,19,1,0
36,63,4.7,24,1,1
37,63,2.7,19,1,1
38,66,4.4,22,2,0
39,66,3.1,24,1,1
40,58,1.9,23,1,0
