ST1_寝つきが悪い,ST2_気分が張りつめている,ST3_疲れが取れにくい,ST4_イライラしやすい,ST5_最近いろいろなことが気になる,SS1_相談できる人がいる,SS2_支えてくれる人がいる,SS3_理解してくれる人がいる,SS4_困ったとき助けてくれる人がいる,SE1_新しいことにも挑戦できる,SE2_問題があっても解決できると思う,SE3_失敗しても立ち直れる,SE4_自分の力を信じて行動できる,SE5_やる気があれば何でもできると思う
3,4,4,5,5,5,5,5,5,1,2,1,1,3
1,1,2,2,3,2,3,5,1,5,5,3,4,1
2,4,4,4,5,5,3,4,5,3,1,1,3,4
5,5,5,4,3,2,2,2,3,4,5,5,2,5
2,3,3,4,4,2,1,2,2,2,2,2,1,3
3,2,5,4,1,4,5,2,5,4,4,5,5,5
1,1,1,1,3,2,1,3,1,2,3,3,5,5
3,1,1,1,2,1,2,2,2,3,4,2,2,1
1,2,2,2,1,1,2,2,4,3,3,5,4,2
1,3,5,4,5,4,5,2,5,3,3,3,1,3
3,1,5,3,5,5,3,3,4,3,3,3,2,2
5,3,3,5,3,5,5,5,5,5,4,4,5,1
2,2,1,2,3,4,3,4,4,3,3,3,2,2
2,4,3,2,4,4,1,3,3,4,5,5,5,1
3,3,2,4,2,1,1,1,2,3,2,3,3,4
5,5,5,3,5,4,2,5,4,1,1,1,2,4
3,3,1,1,1,1,2,3,2,1,2,3,3,5
1,4,1,2,3,4,5,3,5,1,3,1,2,2
5,5,4,4,1,4,4,3,5,4,5,2,4,1
5,3,4,3,2,3,4,3,3,1,3,3,1,5
1,5,3,2,5,1,1,1,1,4,2,5,4,3
1,1,2,2,4,2,4,3,2,1,2,3,3,4
3,1,2,5,4,3,2,1,1,2,1,1,1,5
3,5,2,3,5,4,4,3,4,5,4,4,5,1
4,5,5,4,1,5,5,5,5,4,4,3,5,4
5,3,5,5,3,3,3,3,5,2,1,2,1,5
1,1,3,2,2,3,1,2,1,3,4,1,2,4
4,4,1,3,1,3,5,4,4,3,4,4,4,3
5,3,3,5,4,2,2,4,2,3,2,1,3,5
4,2,4,5,5,2,3,1,2,4,1,2,1,1
3,1,4,1,4,2,3,5,3,3,5,5,4,1
1,3,3,4,1,4,4,5,5,5,5,5,5,4
2,5,5,5,5,3,4,2,2,2,1,1,1,1
2,1,2,2,1,4,4,4,1,5,4,5,5,3
1,2,1,1,4,1,1,1,1,1,2,4,3,2
5,5,4,5,4,1,1,1,1,3,1,1,2,2
2,2,2,2,3,2,1,3,4,2,2,3,3,5
2,4,2,2,5,1,1,1,1,3,5,4,5,4
1,2,2,2,3,2,4,3,3,2,2,2,3,2
3,2,2,2,4,3,4,1,4,2,4,3,3,3
5,4,4,5,5,5,3,2,4,4,3,4,4,3
2,4,3,2,1,1,2,1,1,3,4,4,3,4
3,1,2,1,2,2,2,2,3,4,4,3,2,3
5,2,3,5,2,4,1,5,4,4,3,5,3,2
2,1,1,1,3,5,3,3,4,5,5,5,5,5
2,1,1,1,2,4,5,4,3,5,5,5,5,3
5,4,3,5,5,4,3,4,3,3,3,4,1,4
3,5,5,5,1,3,4,5,5,3,3,1,2,1
1,2,3,2,4,2,4,2,4,2,2,2,2,2
3,2,5,1,4,1,2,5,4,1,2,1,1,5
1,1,1,2,4,1,1,2,1,1,1,2,1,5
5,4,5,3,1,5,4,5,3,3,3,3,3,3
5,5,5,3,4,5,5,4,5,3,3,2,3,1
2,4,4,4,2,2,4,4,4,1,1,1,1,5
4,3,3,4,5,4,5,5,4,3,1,1,4,1
1,2,1,1,4,5,5,5,5,5,5,3,4,5
2,2,3,2,4,3,3,2,1,5,5,5,5,3
2,2,1,1,2,3,4,3,5,1,2,3,1,2
1,1,1,1,3,3,5,5,4,5,5,5,4,3
1,1,3,4,5,1,2,1,4,5,5,5,5,5
2,3,4,3,3,2,1,1,3,4,2,2,3,2
1,2,2,3,1,5,5,5,5,4,4,4,4,1
5,4,4,4,5,3,2,5,3,3,3,1,5,1
4,3,4,1,1,5,5,5,5,5,5,5,5,3
4,2,5,4,3,1,1,1,1,2,1,1,1,3
1,2,2,1,1,3,2,2,1,4,5,5,4,4
3,4,3,5,1,2,1,1,2,2,4,4,4,2
1,3,1,1,1,3,1,1,1,2,3,1,1,3
4,2,4,2,4,3,2,4,3,5,4,5,5,2
4,2,3,3,5,5,5,4,5,5,5,4,5,5
1,3,1,1,5,4,2,2,2,4,4,3,5,3
5,5,5,5,4,2,3,3,4,3,1,2,2,4
4,3,5,4,5,4,5,5,5,2,1,2,1,4
3,5,4,3,1,2,2,2,2,3,3,3,3,1
3,4,5,4,2,3,4,5,2,1,1,2,4,1
4,5,2,5,5,4,3,4,4,2,1,3,2,5
5,2,2,3,4,1,5,2,3,1,3,2,1,3
2,1,1,2,2,4,3,4,5,4,2,3,2,5
3,3,4,3,2,4,4,5,4,4,4,5,5,2
1,1,1,1,4,3,1,1,1,2,1,1,2,5
1,1,1,1,4,5,4,4,5,3,2,2,3,1
5,5,5,5,5,5,4,3,5,3,2,2,1,2
5,3,1,3,3,3,4,4,2,1,3,3,4,2
1,1,1,2,4,3,2,1,3,2,4,4,3,3
2,1,1,2,3,1,3,4,3,3,1,4,2,4
5,5,5,5,4,5,5,5,5,3,2,1,3,2
2,2,4,1,4,3,5,4,5,5,4,4,4,3
4,1,3,4,2,3,2,3,2,2,3,2,2,5
2,4,3,3,4,2,1,1,3,1,1,1,2,1
2,2,2,5,1,3,4,3,2,5,4,4,5,3
3,5,2,1,3,3,3,2,4,3,3,5,3,2
4,4,4,5,2,2,3,3,2,1,1,1,1,2
4,4,3,5,1,1,4,3,2,5,5,5,5,5
4,5,5,5,1,5,5,5,2,4,5,5,3,4
