ID,Group,ScoreA,ScoreB,ScoreC
1,A,49,63.5,51.1
2,A,51.9,46.4,64
3,A,39.8,52.1,32.1
4,A,39.2,50.2,35.1
5,A,59.1,47.4,139.8
6,A,58.9,47.6,52.5
7,A,50.6,50.3,20.7
8,A,55.3,52.1,42
9,A,48.1,56,29.2
10,A,45.9,47.9,67.5
11,A,42.1,39.5,49.7
12,A,54.9,53.5,105.9
13,A,48.6,52.5,43.2
14,A,41.3,46.1,68.4
15,A,51.3,49.4,35.8
16,A,55.8,59.9,36.8
17,A,46.6,39.8,74.9
18,A,50.6,53.5,39.2
19,A,49.2,51.3,54.5
20,A,48.8,43.2,31.8
21,A,40.7,45.4,38.7
22,A,50.9,52.6,42.1
23,A,45.9,66,61.7
24,A,45.2,49.2,51.3
25,A,54.3,44.9,18.1
26,A,59.6,47.6,43
27,A,51.1,45,77.9
28,A,54.8,51.8,74.3
29,A,36.4,55.3,33.4
30,A,50.8,52.5,32.6
31,A,53,47.8,31
32,A,56.3,56,34
33,A,49.7,42,60.1
34,A,49.9,53,55.9
35,A,49.7,58.6,58.4
36,A,49.3,48.4,34.4
37,A,44.5,43.7,20.8
38,A,57.7,46.6,92.4
39,A,48.6,53.6,38.1
40,A,51.5,48.2,84.1
41,A,43.3,53.3,65.5
42,A,53.7,50.3,51.6
43,A,49.9,46.1,47.6
44,A,47.8,51.8,44.6
45,A,44.4,46.7,37
46,A,58.5,51.5,34.7
47,A,50.8,52.5,36.3
48,A,51.2,39.9,63.1
49,A,46.6,48.1,25.7
50,A,44.7,63.2,58.7
51,B,55.7,41.7,116.6
52,B,58.2,57.4,56.9
53,B,59.7,51.3,24.1
54,B,48.4,44.5,94.3
55,B,48.5,48.7,31.8
56,B,54.8,42.5,60.8
57,B,52.2,39.2,56.5
58,B,52.8,56.6,48.5
59,B,52.1,39,81.3
60,B,51.1,57,47.6
61,B,55,56.5,64.3
62,B,54,51.1,98.5
63,B,48.2,51.7,56.8
64,B,64.2,54.6,122.3
65,B,46.1,50.5,119.3
66,B,65,47.4,85.3
67,B,52.3,46.6,67.1
68,B,56.7,34.7,82
69,B,56.1,56,67.3
70,B,52.1,59.2,39.1
71,B,66.4,50.3,29
72,B,55.8,41.8,35.8
73,B,60,44.5,82.4
74,B,59.5,46.6,99.8
75,B,61.1,62,62.5
76,B,55.3,42.1,45.4
77,B,56.9,52.8,86.8
78,B,52.6,43.1,107.5
79,B,50.7,65.3,27.1
80,B,54.7,51.5,77.5
81,B,52.5,49,55.4
82,B,60.1,58.7,36.5
83,B,40.6,44.2,79.1
84,B,39.3,55,46.2
85,B,62.7,57.7,29.7
86,B,54.3,47.5,56.2
87,B,53.3,48.4,63.7
88,B,62.6,49.2,80.3
89,B,56.8,56.3,55.9
90,B,51.6,44.7,101.7
91,B,47.2,53.8,73.4
92,B,47.8,56,40.7
93,B,62.2,49.2,42.2
94,B,47.8,56.8,68.9
95,B,47.1,47.9,85.7
96,B,54.5,39.5,86.7
97,B,45.7,52.4,98.5
98,B,63,45.8,57.4
99,B,69,49.5,63
100,B,52.1,42.6,36.5
